time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3139389,568;0,970731783;33899,17517;0;0,849030743;;0;0,849030743;23,42589428
18,03814823;268352,97;3115974,191;0,970731783;33652,45309;116,0541425;0,84899009;180,7407127;13,77736755;0,84899009;23,63305918
54,11444468;536869,32;3069853,409;0,970731783;33166,28461;344,6583493;0,848909724;120,5304883;41,00173357;0,848909724;24,02217901
72,15259291;268512,05;3047149,653;0,970731783;32926,86334;457,2;0,84887015;45,21196402;54,45143646;0,84887015;24,2049054
72,15259291;0;3055874,186;0,970731783;31870,09047;457,2;0,85490421;0;54,45143646;0,85490421;24,20587505
92,48729672;302756,89;3015399,309;0,970731783;31459,58853;653,0591224;0,854855688;39,39090269;69,47025551;0,854855688;24,40295357
133,1567043;605688,35;2935393,913;0,970731783;30648,20563;1034,10719;0,854773531;54,17625926;98,89249591;0,854773531;24,77083461
153,4914082;302926,45;2895186,984;0,970731783;30240,82803;1219,2;0,854747284;23,43369872;113,3015487;0,854747284;24,94254701
153,4914082;0;2902470,53;0,970731783;29425,91489;1219,2;0,859196103;0;113,3015487;0,859196103;24,94344724
180,5792434;403608,32;2851339,635;0,970731783;28923,61253;1456,132378;0,859166267;26,31470934;132,2112666;0,859166267;25,16040926
234,754914;807469,64;2759578,991;0,970731783;28018,82263;1913,244144;0,859062824;40,0544082;169,1091577;0,859062824;25,55764215
261,8427493;403852,21;2715522,19;0,970731783;27583,98222;2133,6;0,859013507;17,89323384;187,1145599;0,859013507;25,73959554
261,8427493;0;2723388,064;0,970731783;26736,15982;2133,6;0,863432559;0;187,1145599;0,863432559;25,74051012
281,9439345;299735,67;2692205,245;0,970731783;26439,24987;2290,04543;0,863402252;12,26842191;200,3123778;0,863402252;25,86892609
322,1463047;599584,21;2631305,51;0,970731783;25859,08968;2594,926507;0,863345394;21,29642665;226,2648857;0,863345394;26,11025701
342,2474899;299845,62;2599995,781;0,970731783;25561,29598;2743,2;0,863330602;9,989663899;239,0213188;0,863330602;26,22370723
342,2474899;0;2605762,774;0,970731783;24940,51741;2743,2;0,866303784;0;239,0213188;0,866303784;26,22426266
