time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3015165,052;0;34435,91357;0;0,83;;0;0,83;0
16,69432793;0;2998488,176;0;34257,17959;114,9846949;0,83;0;14,90366279;0,83;0
50,08298378;0;2963457,55;0;33883,27367;344,2505818;0,83;0;44,43979571;0,83;0
66,77731171;0;2934755,224;0;33567,42272;457,2;0,83;0;59,02009871;0,83;0
66,77731171;0;2942409,391;0;33897,21103;457,2;0,875;0;59,02009871;0,875;0
85,68785301;0;2899581,878;0;33417,24653;650,9074813;0,875;0;75,28593301;0,875;0
123,5089356;0;2847491,079;0;32855,21064;1032,743204;0,875;0;107,3327808;0,875;0
142,4194769;0;2809031,75;0;32434,84898;1219,2;0,875;0;123,0592286;0,875;0
142,4194769;0;2815211,377;0;31467,62676;1219,2;0,875;0;123,0592286;0,875;0
167,4658665;0;2763166,475;0;30909,46023;1457,556527;0,875;0;143,586603;0,875;0
217,5586457;0;2673033,099;0;29944,90547;1912,80604;0,875;0;183,4319155;0,875;0
242,6050352;0;2649168,076;0;29709,27711;2133,6;0,875;0;202,9281001;0,875;0
242,6050352;0;2656455,294;0;28728,36204;2133,6;0,875;0;202,9281001;0,875;0
261,0605885;0;2622145,995;0;28372,86165;2290,83916;0,875;0;217,1475117;0,875;0
297,971695;0;2555677,075;0;27688,38871;2595,491028;0,875;0;245,0330902;0,875;0
316,4272483;0;2525281,482;0;27373,87842;2743,2;0,875;0;258,7177838;0,875;0
316,4272483;0;2530314,893;0;26670,98739;2743,2;0,875;0;258,7177838;0,875;0
336,7744738;0;2500991,447;0;26379,21409;2900,073095;0,875;0;273,641927;0,875;0
377,4689249;0;2444029,758;0;25813,61258;3204,831141;0,875;0;302,9685396;0,875;0
397,8161505;0;2416375,665;0;25540,7877;3352,8;0,875;0;317,3822756;0,875;0
397,8161505;0;2421900,946;0;24891,74573;3352,8;0,875;0;317,3822756;0,875;0
420,3485087;0;2392675,284;0;24608,5919;3510,13312;0,875;0;333,1750213;0,875;0
