time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3024046,838;0,97107736;1298571,46;33333,00988;0;0,850656552;0;0;0,850656552;72,83026724
20,17981588;60569118,67;3001470,332;0,97107736;1287283,208;33094,32008;116,113646;0,850652806;36464,94734;14,85331782;0,850652806;73,54051535
60,53944764;119344415,4;2957024,389;0,97107736;1265060,236;32624,05118;344,7191839;0,850645156;35924,97233;44,20369745;0,850645156;74,86465068
80,71926352;59230928,95;2935157,055;0,97107736;1254126,569;32392,50459;457,2;0,850641378;35659,30547;58,70375902;0,850641378;75,48184444
80,71926352;0;2943564,715;0,97107736;1258330,399;31343,33453;457,2;0,856249443;0;58,70375902;0,856249443;75,48759383
102,5240303;63332754,53;2904537,121;0,97107736;1238816,602;30945,9583;653,1726155;0,85625505;33808,19453;74,22335875;0,85625505;76,12289166
146,133564;123303165,4;2827435,998;0,97107736;1200266,041;30160,39408;1034,223976;0,856273061;32910,75385;104,6264549;0,856273061;77,30320633
167,9383308;60807250,5;2788713,636;0,97107736;1180904,86;29765,90048;1219,2;0,856290235;32460,03379;119,5159467;0,856290235;77,85158223
167,9383308;0;2795732,645;0,97107736;1184414,364;28956,69134;1219,2;0,86035793;0;119,5159467;0,86035793;77,8566234
197,0988424;80086920,59;2746416,856;0,97107736;1159756,469;28469,6666;1456,349246;0,860377818;30859,00162;139,1330612;0,860377818;78,54958428
255,4198657;155016641,5;2657989,053;0,97107736;1115542,568;27592,95103;1913,460454;0,86039182;29865,41839;177,4108751;0,86039182;79,81084322
284,5803774;76271482,79;2615574,225;0,97107736;1094335,154;27171,71656;2133,6;0,86039852;29388,84134;196,0898401;0,86039852;80,38528938
284,5803774;0;2623154,413;0,97107736;1098125,248;26329,67582;2133,6;0,864344096;0;196,0898401;0,864344096;80,39031585
306,3250094;56385559,69;2593079,51;0,97107736;1083087,796;26041,64172;2290,173699;0,86434832;28003,01847;209,8480967;0,86434832;80,79627739
