time;total_energy_consumption;power;emotor_efficiency;power_propeller_turboprop;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3015165,052;0;3015165,052;34435,91357;0;0,83;0;0;0,83;0
16,69432793;50057744,9;2998488,176;0;2998488,176;34257,17959;114,9846949;0,83;36428,71704;14,90366279;0,83;0
50,08298378;98945864,26;2963457,55;0;2963457,55;33883,27367;344,2505818;0,83;36003,12898;44,43979571;0,83;0
66,77731171;48993766,1;2934755,224;0;2934755,224;33567,42272;457,2;0,83;35654,42362;59,02009871;0,83;0
66,77731171;0;2942409,391;0;2942409,391;33897,21103;457,2;0,875;0;59,02009871;0,875;0
85,68785301;54832662,86;2899581,878;0;2899581,878;33417,24653;650,9074813;0,875;33750,51655;75,28593301;0,875;0
123,5089356;107695195,3;2847491,079;0;2847491,079;32855,21064;1032,743204;0,875;33144,19073;107,3327808;0,875;0
142,4194769;53120310,92;2809031,75;0;2809031,75;32434,84898;1219,2;0,875;32696,53231;123,0592286;0,875;0
142,4194769;0;2815211,377;0;2815211,377;31467,62676;1219,2;0,875;0;123,0592286;0,875;0
167,4658665;69207344,06;2763166,475;0;2763166,475;30909,46023;1457,556527;0,875;31047,20193;143,586603;0,875;0
217,5586457;133899656,8;2673033,099;0;2673033,099;29944,90547;1912,80604;0,875;30034,45473;183,4319155;0,875;0
242,6050352;66352095,48;2649168,076;0;2649168,076;29709,27711;2133,6;0,875;29766,30505;202,9281001;0,875;0
242,6050352;0;2656455,294;0;2656455,294;28728,36204;2133,6;0,875;0;202,9281001;0,875;0
261,0605885;48393155,17;2622145,995;0;2622145,995;28372,86165;2290,83916;0,875;28316,91139;217,1475117;0,875;0
297,971695;94332868,69;2555677,075;0;2555677,075;27688,38871;2595,491028;0,875;27599,10448;245,0330902;0,875;0
316,4272483;46605466,99;2525281,482;0;2525281,482;27373,87842;2743,2;0,875;27270,85834;258,7177838;0,875;0
316,4272483;0;2530314,893;0;2530314,893;26670,98739;2743,2;0,875;0;258,7177838;0,875;0
336,7744738;50888236,95;2500991,447;0;2500991,447;26379,21409;2900,073095;0,875;26193,63389;273,641927;0,875;0
377,4689249;99458449,47;2444029,758;0;2444029,758;25813,61258;3204,831141;0,875;25597,05703;302,9685396;0,875;0
397,8161505;49166540,79;2416375,665;0;2416375,665;25540,7877;3352,8;0,875;25307,42741;317,3822756;0,875;0
397,8161505;0;2421900,946;0;2421900,946;24891,74573;3352,8;0,875;0;317,3822756;0,875;0
420,3485087;53912616,56;2392675,284;0;2392675,284;24608,5919;3510,13312;0,875;24299,83633;333,1750213;0,875;0
465,4132252;105274427,4;2336072,11;0;2336072,11;24062,18231;3814,894131;0,875;23724,9786;364,1951901;0,875;0
487,9455834;52020000,61;2308679,817;0;2308679,817;23797,92379;3962,4;0,875;23446,78447;379,4346519;0,875;0
487,9455834;0;2317027,184;0;2317027,184;23213,26982;3962,4;0,875;0;379,4346519;0,875;0
513,1642308;57692962,91;2287710,439;0;2287710,439;22938,97266;4120,372508;0,875;22516,21942;396,3218815;0,875;0
563,6015256;112534079,9;2231168,035;0;2231168,035;22406,1909;4425,097099;0,875;21959,71491;429,4778327;0,875;0
588,820173;55579730,62;2203914,022;0;2203914,022;22152,12246;4572;0,875;21691,47409;445,7624332;0,875;0
588,820173;0;2212600,82;0;2212600,82;21616,4571;4572;0,875;0;445,7624332;0,875;0
617,4663231;62539621,45;2183177,189;0;2183177,189;21345,74143;4730,707735;0,875;20823,14501;464,081482;0,875;0
674,7586234;121891957,2;2127545,177;0;2127545,177;20842,84196;5035,146082;0,875;20292,52686;500,0118781;0,875;0
703,4047735;60265632,88;2103795,193;0;2103795,193;20628,37522;5181,6;0,875;20065,9995;517,6667409;0,875;0
703,4047735;0;1689579,158;0;1689579,158;14433,40721;5181,6;0,83;0;517,6667409;0,83;0
1123,848706;709145065,1;1686657,864;0;1686657,864;14406,48722;5181,6;0,83;11585,16113;768,5027148;0,83;0
1964,736572;1413414503;1680859,673;0;1680859,673;14353,12209;5181,6;0,83;11545,33504;1269,09166;0,83;0
2675,180504;1192112327;1677982,278;0;1677982,278;14326,67549;5181,6;0,83;11525,57106;1518,848735;0,83;0
