segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;temperature_C;mdot_fuel_kg_s;mdot_air_kg_s;AFR_esteq;AFR_real_adjusted;excesso_ar;phi;B_Fuel_kW;B_Air_kW;W_Mec_Engine_kW;W_Mec_Hydraulic_kW;W_Electric_kW_aux_engine;W_Aux_Engine_kW;mdot_bleed_kg_s;P_bleed_Pa;T_estag_bleed_K;P_estag_bleed_Pa;T_bleed_K;B_Bleed_kW;B_Perda_Dest_Engine_kW;P_mec_MTRB_kW;eta_emotor_MTRB;W_Entrada_CT_kW;W_Gearbox_out_kW;B_Perda_Dest_Gearbox_kW;W_Prop_SysTermico_in_kW;thrust_turboprop_N;B_Thrust_Engine_kW;B_Perda_Dest_Prop_SysTermico_kW;B_Quim_Bat_kW;W_Bat_Power_kW;Q_Bat_Heat_kW;B_Bat_Heat_kW;B_Dest_Bat_kW;Ex_inverter_in_kW;Ex_inverter_out_kW;Q_heat_inverter_kW;B_Inverter_Heat_kW;B_Dest_Inverter_kW;eta_ex_inverter;W_El_MTRB_in_kW;W_El_MTRB_out_kW;P_loss_Motor_MTRB_kW;B_Motor_MTRB_Heat_kW;B_Dest_Motor_MTRB_kW;W_El_WTP_in_kW;P_mec_WTPmotor_kW;P_loss_Motor_WTP_kW;B_Motor_WTP_Heat_kW;B_Dest_Motor_WTP_kW;B_Thrust_Motor_WTP_kW;B_Perda_Dest_WTP_kW;B_Thrust_Total_kW;eta_ex_engine;eta_ex_gearbox;eta_ex_prop_SysTermico;eta_ex_bat;eta_ex_motor_MTRB;eta_ex_motor_WTP;eta_ex_prop_WTP;eta_ex_total
climb_1;0;0;0,241882353;82,31111111;101325;288,15;0,233869612;9,927668265;13,39410029;42,44958625;2,169274929;0,321968963;10681,52679;68,96604171;1546,189152;14,914;14,914;29,828;0,10394825;172369,7;1002,290647;19,10966378;13522,37801;1267,423519;7907,05216;227,8424916;0,97107736;1774,031644;1738,551011;35,48063287;1738,551011;13420,28198;1104,638321;633,9126895;-0,001;26,16524824;0,072830267;0,003488597;0;27,54236657;26,16524824;1,377118328;0,180592524;1,196525804;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;263,4222571;255,7730234;7,649233637;1,921193931;5,728039706;178,1334791;77,63954435;1282,7718;0,264493983;0,98;0,635378723;0,951698238;0,97107736;0,970962083;0,696451395;0,239991189
climb_1;20,17981588;116,113646;0,242199747;82,31111111;99937,88745;287,3952751;0,231987694;9,843050121;13,39410029;42,42919075;2,167752207;0,322123732;10595,57395;57,03742606;1534,728997;14,914;14,914;29,828;0,10394825;172369,7;1001,4076;18,94678223;13543,54777;1269,586358;7818,46802;227,8424916;0,97107736;1762,571489;1727,320059;35,25142977;1727,320059;13303,56325;1095,031073;632,288986;26,24077956;26,16988321;0,073540515;0,003522618;0,067373729;27,54724548;26,16988321;1,377362274;0,180624515;1,196737759;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;263,6355363;255,9801095;7,655426821;1,922749421;5,732677399;177,9893704;77,99073902;1273,020443;0,266051511;0,98;0,633947986;0,951698238;0,97107736;0,970962083;0,695325003;0,240890572
climb_1;60,53944764;344,7191839;0,242828269;82,31111111;97252,00285;285,9094465;0,228294566;9,677199859;13,39410029;42,38909418;2,164758607;0,322428434;10426,89771;34,09661542;1512,167604;14,914;14,914;29,828;0,10394825;172369,7;999,6691836;18,62611132;13586,13551;1273,937625;7645,061099;227,8424916;0,97107736;1740,010096;1705,209894;34,80020191;1705,209894;13073,78004;1076,117362;629,0925322;26,2484828;26,17852432;0,074864651;0,003586044;0,066372434;27,55634139;26,17852432;1,377817069;0,180684156;1,197132913;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;264,0711969;256,4031194;7,668077498;1,925926786;5,742150712;177,6957261;78,7073933;1253,813088;0,269184089;0,98;0,631076189;0,951734761;0,97107736;0,970962083;0,693032622;0,243875226
climb_1;80,71926352;457,2;0,243139306;82,31111111;95952,1631;285,1784132;0,226483283;9,59595976;13,39410029;42,36939536;2,163287899;0,322578341;10344,17098;23,07278058;1501,067435;14,914;14,914;29,828;0,10394825;172369,7;998,8138962;18,4683373;13607,54425;1276,125111;7560,223219;227,8424916;0,97107736;1728,909927;1694,331728;34,57819853;1694,331728;12960,72837;1066,811953;627,5197751;26,25573014;26,18255203;0,075481844;0,003615608;0,069562501;27,56058108;26,18255203;1,378029054;0,180711955;1,197317099;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;264,2933252;256,6187976;7,674527641;1,927546814;5,746980827;177,5463798;79,07241778;1244,358333;0,270758613;0,98;0,629635824;0,951612871;0,97107736;0,970962083;0,691868177;0,245375626
climb_2;80,71926352;457,2;0,25377665;85,91222222;95952,1631;285,1784132;0,226818543;9,612689871;13,39410029;42,38052914;2,164119144;0,322493597;10359,48331;28,93570318;1505,335283;14,914;14,914;29,828;0,10394825;172369,7;999,2067978;18,50255196;13605,70005;1275,936672;7577,319062;227,8424916;0,97107736;1733,177775;1698,514219;34,66355549;1698,514219;12541,22727;1077,444704;621,069515;26,25573014;26,18258955;0,075487594;0,003615883;0,069524706;27,56062058;26,18258955;1,378031029;0,180712214;1,197318815;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;261,7151953;254,1155312;7,599664119;1,908743971;5,690920148;179,2953712;74,82015999;1256,740075;0,2705994;0,98;0,634345413;0,9516143;0,97107736;0,970962083;0,705566363;0,246047506
climb_2;102,5240303;653,1726155;0,254345236;85,91222222;93721,21347;283,9048132;0,223685023;9,472162344;13,39410029;42,34598373;2,161539992;0,322756684;10216,36606;10,02473378;1485,524321;14,914;14,914;29,828;0,10394825;172369,7;997,7135254;18,22479923;13644,20371;1279,871052;7431,167417;227,8424916;0,97107736;1713,366813;1679,099476;34,26733625;1679,099476;12346,82266;1060,742972;618,3565043;26,26049642;26,18673541;0,076122892;0,003646314;0,070114697;27,56498464;26,18673541;1,378249232;0,180740829;1,197508403;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;262,0738016;254,4637243;7,610077299;1,911359362;5,698717938;179,0500341;75,41369025;1239,793006;0,2733343;0,98;0,631733252;0,95159118;0,97107736;0,970962083;0,703636774;0,248666612
climb_2;146,133564;1034,223976;0,255461726;85,91222222;89503,92112;281,4286353;0,217588459;9,199567072;13,39410029;42,27966462;2,156588625;0,323262954;9937,917688;25,25402554;1446,386695;14,914;14,914;29,828;0,10394825;172369,7;994,7864585;17,68224446;13722,15446;1287,836969;7199,120049;227,8424916;0,97107736;1674,229187;1640,744603;33,48458373;1640,744603;11962,85523;1027,755477;612,989126;26,26736869;26,19443796;0,077303206;0,003702852;0,069227876;27,57309259;26,19443796;1,378654629;0,180793992;1,197860638;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;262,8148492;255,1832534;7,631595777;1,916763978;5,714831799;178,5451746;76,63807881;1206,300651;0,277426882;0,98;0,626395769;0,951623524;0,97107736;0,970962083;0,699674341;0,252663398
climb_2;167,9383308;1219,2;0,25600899;85,91222222;87513,02812;280,2267163;0,214605435;9,063248374;13,39410029;42,23214745;2,153041006;0,323626671;9801,674033;41,65001951;1426,730674;14,914;14,914;29,828;0,10394825;172369,7;993,4345819;17,42301481;13761,45354;1291,85339;7094,911988;227,8424916;0,97107736;1654,573166;1621,481702;33,09146331;1621,481702;11770,12157;1011,1973;610,2844024;26,27382376;26,19801658;0,077851582;0,003729119;0,072078059;27,57685956;26,19801658;1,378842978;0,180818692;1,198024286;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;263,1958917;255,5532313;7,642660459;1,919543001;5,723117458;178,2866853;77,26654594;1189,483985;0,279215847;0,98;0,623625477;0,951514726;0,97107736;0,970962083;0,697649896;0,254434416
climb_3;167,9383308;1219,2;0,265206918;88,99888889;87513,02812;280,2267163;0,214895937;9,079069333;13,39410029;42,2486784;2,154275203;0,323500043;9814,942131;36,82151689;1430,293623;14,914;14,914;29,828;0,10394825;172369,7;993,7221072;17,45241214;13758,80764;1291,582967;7100,059057;227,8424916;0,97107736;1658,136115;1624,973392;33,16272229;1624,973392;11449,80913;1019,020291;605,9531017;26,27382376;26,19804948;0,077856623;0,003729361;0,072044918;27,57689419;26,19804948;1,378844709;0,180818919;1,198025791;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;261,1390826;253,5561476;7,582935007;1,90454226;5,678392748;179,6909242;73,8652234;1198,711215;0,279310861;0,98;0,627099678;0,951515978;0,97107736;0,970962083;0,708682972;0,255123772
climb_3;197,0988424;1456,349246;0,265939057;88,99888889;85013,37056;278,6858933;0,21112594;8,904735051;13,39410029;42,1773613;2,148950686;0,324047045;9642,755058;57,27335879;1405,260227;14,914;14,914;29,828;0,10394825;172369,7;992,0619919;17,11971763;13811,56543;1296,975263;6967,964927;227,8424916;0,97107736;1633,102719;1600,440664;32,66205437;1600,440664;11211,69886;997,8287411;602,6119231;26,27856159;26,20257163;0,078549584;0,003762554;0,072227403;27,58165435;26,20257163;1,379082717;0,180850131;1,198232587;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;261,605716;254,0092309;7,596485068;1,907945515;5,688539553;179,3704044;74,6388265;1177,199146;0,281655205;0,98;0,62347125;0,951508291;0,97107736;0,970962083;0,706157031;0,257446368
climb_3;255,4198657;1913,460454;0,267367394;88,99888889;80358,81759;275,7162414;0,204338616;8,592624247;13,39410029;42,05090754;2,139509681;0,325021506;9332,757609;94,7280394;1360,373018;14,914;14,914;29,828;0,10394825;172369,7;988,8063722;16,50161164;13911,63821;1307,2048;6730,07983;227,8424916;0,97107736;1588,21551;1556,451199;31,76431019;1556,451199;10784,44587;959,8036997;596,6474997;26,28596025;26,21080242;0,079810843;0,003822969;0,071334858;27,59031834;26,21080242;1,379515917;0,180906939;1,198608977;0,95;234,6285692;0;6,786077642;1,704402271;5,081675371;262,570209;254,9457171;7,624491936;1,914979765;5,70951217;178,7115273;76,23418973;1138,515227;0,286121445;0,98;0,616661608;0,951540762;0,97107736;0,970962083;0,700978739;0,261858243
