segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;temperature_C;mdot_fuel_kg_s;mdot_air_kg_s;AFR_esteq;AFR_real_adjusted;excesso_ar;phi;B_Fuel_kW;B_Air_kW;W_Mec_Engine_kW;W_Mec_Hydraulic_kW;W_Electric_kW_aux_engine;W_Aux_Engine_kW;mdot_bleed_kg_s;P_bleed_Pa;T_estag_bleed_K;P_estag_bleed_Pa;T_bleed_K;B_Bleed_kW;B_Perda_Dest_Engine_kW;P_mec_MTRB_kW;eta_emotor_MTRB;W_Entrada_CT_kW;W_Gearbox_out_kW;B_Perda_Dest_Gearbox_kW;W_Prop_SysTermico_in_kW;thrust_turboprop_N;B_Thrust_Engine_kW;B_Perda_Dest_Prop_SysTermico_kW;B_Quim_Bat_kW;W_Bat_Power_kW;Q_Bat_Heat_kW;B_Bat_Heat_kW;B_Dest_Bat_kW;Ex_inverter_in_kW;Ex_inverter_out_kW;Q_heat_inverter_kW;B_Inverter_Heat_kW;B_Dest_Inverter_kW;eta_ex_inverter;W_El_MTRB_in_kW;W_El_MTRB_out_kW;P_loss_Motor_MTRB_kW;B_Motor_MTRB_Heat_kW;B_Dest_Motor_MTRB_kW;W_El_WTP_in_kW;P_mec_WTPmotor_kW;P_loss_Motor_WTP_kW;B_Motor_WTP_Heat_kW;B_Dest_Motor_WTP_kW;B_Thrust_Motor_WTP_kW;B_Perda_Dest_WTP_kW;B_Thrust_Total_kW;eta_ex_engine;eta_ex_gearbox;eta_ex_prop_SysTermico;eta_ex_motor_MTRB;eta_ex_motor_WTP;eta_ex_prop_WTP;eta_ex_total
climb_1;0;0;0,241882353;82,31111111;101325;288,15;0,283841768;14,48172286;13,39410029;51,02040816;2,809170236;0,267882006;12963,90507;100,6023848;3015,165052;14,914;14,914;29,828;0,10394825;172369,7;967,8015255;15,08436471;13969,98657;1313,169971;8706,344431;0;0,9;3015,165052;2954,861751;60,30330104;2954,861751;34435,91357;2834,458308;120,4034429;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2834,458308;0,261946351;0,98;0,697878723;0,971240309;0,971309407;0,766323959;0,202956125
climb_1;16,69432793;114,9846949;0,242196655;82,31111111;99951,29941;287,402613;0,28182009;14,37857602;13,39410029;51,02040816;2,809170236;0,267882006;12871,56897;83,48053454;2998,488176;14,914;14,914;29,828;0,10394825;172369,7;967,0673587;14,9630393;13991,6351;1315,383321;8611,350008;0;0,9;2998,488176;2938,518412;59,96976352;2938,518412;34257,17959;2819,746516;118,7718969;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2819,746516;0,263339341;0,98;0,696447986;0,971240309;0,971309407;0,766323959;0,204693008
climb_1;50,08298378;344,2505818;0,242826976;82,31111111;97257,44782;285,9124921;0,27773371;14,17008724;13,39410029;51,02040816;2,809170236;0,267882006;12684,93174;49,99286944;2963,45755;14,914;14,914;29,828;0,10394825;172369,7;965,566594;14,71543532;14036,68209;1319,98917;8421,649887;0;0,9;2963,45755;2904,188399;59,269151;2904,188399;33883,27367;2788,969904;115,2184952;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2788,969904;0,266141587;0,98;0,693576189;0,971240309;0,971309407;0,766323959;0,20819502
climb_1;66,77731171;457,2;0,243139306;82,31111111;95952,1631;285,1784132;0,274948865;14,02800332;13,39410029;51,02040816;2,809170236;0,267882006;12557,73951;33,72930385;2934,755224;14,914;14,914;29,828;0,10394825;172369,7;964,5057384;14,56582123;14062,25883;1322,604418;8304,281173;0;0,9;2934,755224;2876,06012;58,69510448;2876,06012;33567,42272;2762,971861;113,0882583;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2762,971861;0,267550482;0,98;0,692135824;0,971240309;0,971309407;0,766323959;0,210040684
climb_2;66,77731171;457,2;0,25377665;85,91222222;95952,1631;285,1784132;0,275247559;14,04324281;13,39410029;51,02040816;2,809170236;0,267882006;12571,38176;42,27236194;2942,409391;14,914;14,914;29,828;0,10394825;172369,7;964,7957921;14,5886863;14060,18518;1322,392381;8319,024352;0;0,9;2942,409391;2883,561203;58,84818782;2883,561203;33897,21103;2912,184727;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2912,184727;0,267425528;0,98;0,696845413;0,971240309;0,971309407;0,766323959;0,221278487
climb_2;85,68785301;650,9074813;0,254338642;85,91222222;93746,75677;283,9195336;0,270998226;13,8264401;13,39410029;51,02040816;2,809170236;0,267882006;12377,30198;14,94517651;2899,581878;14,914;14,914;29,828;0,10394825;172369,7;963,1766708;14,34594134;14104,04333;1326,877148;8135,960127;0;0,9;2899,581878;2841,59024;57,99163756;2841,59024;33417,24653;2870,94991;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2870,94991;0,269861554;0,98;0,694233252;0,971240309;0,971309407;0,766323959;0,224353223
climb_2;123,5089356;1032,743204;0,255457359;85,91222222;89520,00577;281,4382572;0,264980702;13,51942357;13,39410029;51,02040816;2,809170236;0,267882006;12102,4636;36,91248955;2847,491079;14,914;14,914;29,828;0,10394825;172369,7;960,9950345;13,95729372;14182,95662;1334,947275;7927,109738;0;0,9;2847,491079;2790,541257;56,94982158;2790,541257;32855,21064;2822,664158;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2822,664158;0,273433798;0,98;0,688895769;0,971240309;0,971309407;0,766323959;0,228146841
climb_2;142,4194769;1219,2;0,25600899;85,91222222;87513,02812;280,2267163;0,261287099;13,33097444;13,39410029;51,02040816;2,809170236;0,267882006;11933,76567;61,26228948;2809,03175;14,914;14,914;29,828;0,10394825;172369,7;959,6770274;13,73908525;14227,41458;1339,494228;7816,673985;0;0,9;2809,03175;2752,851115;56,180635;2752,851115;32434,84898;2786,549953;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2786,549953;0,274973046;0,98;0,686125477;0,971240309;0,971309407;0,766323959;0,229666235
climb_3;142,4194769;1219,2;0,265206918;88,99888889;87513,02812;280,2267163;0,261527049;13,34321679;13,39410029;51,02040816;2,809170236;0,267882006;11944,72491;54,11540151;2815,211377;14,914;14,914;29,828;0,10394825;172369,7;959,909735;13,7580943;14225,24395;1339,272219;7814,528714;0;0,9;2815,211377;2758,907149;56,30422754;2758,907149;31467,62676;2800,583818;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2800,583818;0,275085815;0,98;0,689599678;0,971240309;0,971309407;0,766323959;0,230707253
climb_3;167,4658665;1457,556527;0,265942799;88,99888889;85000,79537;278,6780496;0,256436742;13,08350724;13,39410029;51,02040816;2,809170236;0,267882006;11712,23532;84,30874269;2763,166475;14,914;14,914;29,828;0,10394825;172369,7;957,9600771;13,47287826;14281,57602;1345,034018;7658,515567;0;0,9;2763,166475;2707,903146;55,2633295;2707,903146;30909,46023;2750,907617;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2750,907617;0,277096231;0,98;0,68597125;0,971240309;0,971309407;0,766323959;0,232943926
climb_3;217,5586457;1912,80604;0,267365332;88,99888889;80365,32991;275,7204925;0,247750835;12,64034872;13,39410029;51,02040816;2,809170236;0,267882006;11315,52389;139,2682854;2673,033099;14,914;14,914;29,828;0,10394825;172369,7;954,6454924;12,96388819;14389,62428;1356,086844;7395,844229;0;0,9;2673,033099;2619,572437;53,46066198;2619,572437;29944,90547;2665,063315;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2665,063315;0,280934267;0,98;0,679161608;0,971240309;0,971309407;0,766323959;0,236849206
climb_3;242,6050352;2133,6;0,268063451;88,99888889;78192,31283;274,2862429;0,245096962;12,50494704;13,39410029;51,02040816;2,809170236;0,267882006;11194,31355;165,5907539;2649,168076;14,914;14,914;29,828;0,10394825;172369,7;953,8252518;12,77293325;14438,34677;1361,0715;7319,836723;0;0,9;2649,168076;2596,184714;52,98336152;2596,184714;29709,27711;2644,092653;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2644,092653;0,282873333;0,98;0,675756565;0,971240309;0,971309407;0,766323959;0,238395963
climb_4;242,6050352;2133,6;0,278909949;92,6;78192,31283;274,2862429;0,245399969;12,52040658;13,39410029;51,02040816;2,809170236;0,267882006;11208,15278;157,6085509;2656,455294;14,914;14,914;29,828;0,10394825;172369,7;954,1076223;12,79571089;14435,27091;1360,756807;7318,721234;0;0,9;2656,455294;2603,326188;53,12910588;2603,326188;28728,36204;2660,246325;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2660,246325;0,283008357;0,98;0,679187888;0,971240309;0,971309407;0,766323959;0,239606493
climb_4;261,0605885;2290,83916;0,279430685;92,6;76674,08469;273,2648977;0,242184941;12,35637454;13,39410029;51,02040816;2,809170236;0,267882006;11061,31281;175,1461249;2622,145995;14,914;14,914;29,828;0,10394825;172369,7;952,8194504;12,61772479;14473,59089;1364,677444;7219,807496;0;0,9;2622,145995;2569,703075;52,4429199;2569,703075;28372,86165;2627,326989;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2627,326989;0,284411565;0,98;0,676716615;0,971240309;0,971309407;0,766323959;0,241127035
climb_4;297,971695;2595,491028;0,280447895;92,6;73800,63477;271,2861785;0,236072434;12,04451194;13,39410029;51,02040816;2,809170236;0,267882006;10782,13628;207,8162213;2555,677075;14,914;14,914;29,828;0,10394825;172369,7;950,3714657;12,27566302;14550,21394;1372,517644;7031,929781;0;0,9;2555,677075;2504,563534;51,1135415;2504,563534;27688,38871;2563,944795;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2563,944795;0,287263111;0,98;0,67175124;0,971240309;0,971309407;0,766323959;0,244101509
climb_4;316,4272483;2743,2;0,280945065;92,6;72439,29491;270,3268742;0,233254435;11,90073648;13,39410029;51,02040816;2,809170236;0,267882006;10653,42981;223,1369119;2525,281482;14,914;14,914;29,828;0,10394825;172369,7;949,2259481;12,11515669;14587,42759;1376,325718;6945,131522;0;0,9;2525,281482;2474,775852;50,50562964;2474,775852;27373,87842;2534,821142;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2534,821142;0,28869406;0,98;0,669127574;0,971240309;0,971309407;0,766323959;0,245536292
climb_5;316,4272483;2743,2;0,289685578;95,48088889;72439,29491;270,3268742;0,233448682;11,91064704;13,39410029;51,02040816;2,809170236;0,267882006;10662,30165;216,869798;2530,314893;14,914;14,914;29,828;0,10394825;172369,7;949,4342221;12,13113934;14585,13341;1376,090948;6942,93761;0;0,9;2530,314893;2479,708595;50,60629786;2479,708595;26670,98739;2546,569584;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2546,569584;0,288784878;0,98;0,671425787;0,971240309;0,971309407;0,766323959;0,246507863
climb_5;336,7744738;2900,073095;0,29023299;95,48088889;71015,90103;269,3081017;0,2307303;11,77195408;13,39410029;51,02040816;2,809170236;0,267882006;10538,14499;233,0691865;2500,991447;14,914;14,914;29,828;0,10394825;172369,7;948,3147494;11,97034756;14623,57967;1380,025356;6860,369375;0;0,9;2500,991447;2450,971618;50,01982894;2450,971618;26379,21409;2518,71081;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2518,71081;0,290327055;0,98;0,668548482;0,971240309;0,971309407;0,766323959;0,247928071
climb_5;377,4689249;3204,831141;0,291305303;95,48088889;68315,58861;267,3290712;0,225438137;11,50194577;13,39410029;51,02040816;2,809170236;0,267882006;10296,43603;263,3338245;2444,029758;14,914;14,914;29,828;0,10394825;172369,7;946,1286966;11,66170631;14699,16743;1387,761277;6698,150821;0;0,9;2444,029758;2395,149163;48,88059516;2395,149163;25813,61258;2464,706675;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2464,706675;0,293414031;0,98;0,662813536;0,971240309;0,971309407;0,766323959;0,250849675
climb_5;397,8161505;3352,8;0,291830209;95,48088889;67034,92642;266,3682628;0,222923476;11,37364673;13,39410029;51,02040816;2,809170236;0,267882006;10181,58392;277,5259364;2416,375665;14,914;14,914;29,828;0,10394825;172369,7;945,1173892;11,51421594;14736,95057;1391,628447;6621,277744;0;0,9;2416,375665;2368,048152;48,3275133;2368,048152;25540,7877;2438,657113;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2438,657113;0,294910837;0,98;0,660041925;0,971240309;0,971309407;0,766323959;0,252267121
climb_6;397,8161505;3352,8;0,300949903;98,46466667;67034,92642;266,3682628;0,223163676;11,38590184;13,39410029;51,02040816;2,809170236;0,267882006;10192,55457;271,2368288;2421,900946;14,914;14,914;29,828;0,10394825;172369,7;945,3549564;11,5311226;14734,47668;1391,375234;6620,687223;0;0,9;2421,900946;2373,462927;48,43801892;2373,462927;24891,74573;2450,957446;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2450,957446;0,295022369;0,98;0,662022228;0,971240309;0,971309407;0,766323959;0,253253313
climb_6;420,3485087;3510,13312;0,301528664;98,46466667;65694,67611;265,3466983;0,220449752;11,24743633;13,39410029;51,02040816;2,809170236;0,267882006;10068,60152;285,9729389;2392,675284;14,914;14,914;29,828;0,10394825;172369,7;944,2251628;11,37487192;14774,34576;1395,456111;6536,615067;0;0,9;2392,675284;2344,821778;47,85350568;2344,821778;24608,5919;2423,076799;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2423,076799;0,296518342;0,98;0,659215209;0,971240309;0,971309407;0,766323959;0,254858046
climb_6;465,4132252;3814,894131;0,302659229;98,46466667;63160,45027;263,3680274;0,215269355;10,98313036;13,39410029;51,02040816;2,809170236;0,267882006;9831,997251;313,432984;2336,07211;14,914;14,914;29,828;0,10394825;172369,7;942,1152849;11,07719585;14853,4459;1403,553231;6375,976894;0;0,9;2336,07211;2289,350668;46,7214422;2289,350668;24062,18231;2369,274761;0;45,15791978;44,86103728;0,288428383;0,013815825;0,283066672;47,22214451;44,86103728;2,361107225;0,309630847;2,051476378;0,95;355,630282;0;10,22781702;2,568835118;7,658981903;384,4631031;373,4326287;11,03047442;2,770431851;8,260042564;286,1703705;87,26225821;2369,274761;0,299577376;0,98;0,653588147;0,971240309;0,971309407;0,766323959;0,258014661
