mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
climb_1,12202.143600,113.269372,44.618038,345.402465,1766.303872,29.828000,335.468797,1464.690226,4525.198778,1.067330,0,0,0,325.173515,5993.014992,0.213008,0.000000,9.933668,311.908928,0.213008,0.000000,561.300000,56.619486,791.795363,788.033261,0.145844,0.995249,1,0.971240,0.696883
climb_1,12104.028816,112.399400,44.623507,345.402465,1753.222164,29.828000,335.468797,1453.538573,4493.369363,1.093519,0,0,0,325.248485,5938.915170,0.214706,0.000000,9.933668,309.903903,0.214706,0.000000,560.545846,56.656767,791.400834,787.611248,0.145955,0.995212,1,0.971240,0.695909
climb_1,11911.341189,110.690519,44.633835,345.402465,1727.449154,29.828000,335.468797,1431.549515,4430.687052,1.145109,0,0,0,325.410832,5832.922393,0.217911,0.000000,9.933668,305.957604,0.217911,0.000000,559.060030,56.730074,790.616757,786.775559,0.146171,0.995142,1,0.971240,0.693944
climb_1,11816.762043,109.851549,44.638713,345.402465,1714.758650,29.828000,335.468797,1420.713261,4399.835864,1.170510,0,0,0,325.498036,5781.020568,0.219425,0.000000,9.933668,304.016150,0.219425,0.000000,558.328413,56.766127,790.227205,786.361782,0.146277,0.995108,1,0.971240,0.692954
climb_2,11834.254208,119.884070,44.638791,345.402465,1719.634066,29.828000,335.468797,1434.422295,4416.594762,1.170603,0,0,0,326.477348,5786.910847,0.219450,0.000000,9.933668,294.203220,0.219450,0.000000,558.328413,56.766257,790.227205,786.361361,0.146348,0.995108,1,0.971240,0.697981
climb_2,11670.945601,118.304837,44.644220,345.402465,1697.028357,29.828000,335.468797,1415.036821,4363.123119,1.214769,0,0,0,326.598724,5698.056193,0.221134,0.000000,9.933668,290.861609,0.221134,0.000000,557.056240,56.807602,789.777293,785.884602,0.146477,0.995071,1,0.971240,0.696206
climb_2,11352.860194,115.228604,44.654396,345.402465,1652.320179,29.828000,335.468797,1376.655851,4258.373482,1.300721,0,0,0,326.867455,5526.266416,0.224293,0.000000,9.933668,284.265671,0.224293,0.000000,554.580070,56.888821,788.884140,784.941490,0.146681,0.995002,1,0.971240,0.692556
climb_2,11197.035474,113.678418,44.659165,345.402465,1629.839344,29.828000,335.468797,1357.344331,4207.337335,1.342488,0,0,0,327.009346,5442.366725,0.225773,0.000000,9.933668,280.954464,0.225773,0.000000,553.376716,56.928729,788.440891,784.475003,0.146734,0.994970,1,0.971240,0.690652
climb_3,11212.192424,122.208073,44.659241,345.402465,1633.909513,29.828000,335.468797,1367.543352,4221.482642,1.342580,0,0,0,327.454822,5447.837762,0.225797,0.000000,9.933668,274.380135,0.225797,0.000000,553.376716,56.928855,788.440891,784.474598,0.146787,0.994969,1,0.971240,0.694404
climb_3,11015.799026,120.081854,44.665259,345.402465,1605.356575,29.828000,335.468797,1342.911799,4157.299269,1.395968,0,0,0,327.613189,5342.001069,0.227665,0.000000,9.933668,270.300384,0.227665,0.000000,551.838453,56.981118,787.856142,783.860704,0.146839,0.994929,1,0.971240,0.691928
climb_3,10661.663647,116.283413,44.676338,345.402465,1554.078517,29.828000,335.468797,1298.549554,4041.554827,1.499027,0,0,0,328.032234,5150.986688,0.231103,0.000000,9.933668,262.965526,0.231103,0.000000,548.868759,57.083436,786.698294,782.649780,0.146958,0.994854,1,0.971240,0.687228
climb_3,10492.056687,114.457498,44.681440,345.402465,1529.439623,29.828000,335.468797,1277.195420,3985.896384,1.548739,0,0,0,328.264020,5059.801440,0.232687,0.000000,9.933668,259.448980,0.232687,0.000000,547.436243,57.133556,786.125173,782.052496,0.147010,0.994819,1,0.971240,0.684857
climb_4,10507.925086,124.150277,44.681518,345.402465,1533.835206,29.828000,335.468797,1287.297614,4001.648809,1.548863,0,0,0,328.303033,5065.214485,0.232711,0.000000,9.933668,253.703356,0.232711,0.000000,547.436243,57.133687,786.125173,782.052080,0.147070,0.994819,1,0.971240,0.688651
climb_4,10388.311336,122.752404,44.685110,345.402465,1516.420265,29.828000,335.468797,1272.151564,3962.229659,1.584106,0,0,0,328.445014,5001.001710,0.233826,0.000000,9.933668,251.292484,0.233826,0.000000,546.420668,57.170274,785.704397,781.614413,0.147107,0.994795,1,0.971240,0.686948
climb_4,10155.389449,120.033739,44.691885,345.402465,1482.388760,29.828000,335.468797,1242.518379,3885.082144,1.652824,0,0,0,328.745807,4876.471460,0.235928,0.000000,9.933668,246.593370,0.235928,0.000000,544.440460,57.242426,784.869131,780.747568,0.147168,0.994749,1,0.971240,0.683507
climb_4,10039.889100,118.689823,44.695082,345.402465,1464.881515,29.828000,335.468797,1227.269202,3846.483336,1.686264,0,0,0,328.888581,4815.699808,0.236921,0.000000,9.933668,244.192529,0.236921,0.000000,543.476874,57.278013,784.454631,780.318305,0.147138,0.994727,1,0.971240,0.681684
climb_5,10052.031039,126.389381,44.695130,345.402465,1468.104208,29.828000,335.468797,1234.154183,3858.878699,1.686376,0,0,0,328.603264,4819.923137,0.236935,0.000000,9.933668,240.815558,0.236935,0.000000,543.476874,57.278093,784.454631,780.318050,0.147167,0.994727,1,0.971240,0.684283
climb_5,9929.864990,124.876937,44.698510,345.402465,1449.382861,29.828000,335.468797,1217.807580,3817.864326,1.721803,0,0,0,328.727184,4755.944938,0.237984,0.000000,9.933668,238.316893,0.237984,0.000000,542.456082,57.316908,784.000663,779.848583,0.147116,0.994704,1,0.971240,0.682302
climb_5,9694.196512,121.947981,44.704867,345.402465,1413.185542,29.828000,335.468797,1186.162645,3738.558137,1.790472,0,0,0,328.992157,4632.782342,0.239958,0.000000,9.933668,233.499536,0.239958,0.000000,540.477483,57.393448,783.100270,778.919346,0.147004,0.994661,1,0.971240,0.678329
climb_5,9583.817385,120.575811,44.707859,345.402465,1396.205675,29.828000,335.468797,1171.294004,3701.440182,1.823766,0,0,0,329.142865,4575.095573,0.240886,0.000000,9.933668,231.237602,0.240886,0.000000,539.518263,57.431196,782.653829,778.459483,0.146947,0.994641,1,0.971240,0.676394
climb_6,9594.601192,128.422662,44.707902,345.402465,1399.232018,29.828000,335.468797,1177.362951,3713.559407,1.823896,0,0,0,328.538249,4578.580532,0.240900,0.000000,9.933668,228.799615,0.240900,0.000000,539.518263,57.431268,782.653829,778.459257,0.146977,0.994641,1,0.971240,0.678712
climb_6,9485.626555,126.986442,44.711088,345.402465,1382.459617,29.828000,335.468797,1162.635317,3677.106584,1.859310,0,0,0,328.700964,4521.359487,0.241889,0.000000,9.933668,226.592133,0.241889,0.000000,538.498012,57.472813,782.160727,777.951979,0.146920,0.994619,1,0.971240,0.676766
climb_6,9273.261629,124.192122,44.717066,345.402465,1349.779236,29.828000,335.468797,1133.899849,3605.626026,1.928003,0,0,0,329.035050,4410.292486,0.243744,0.000000,9.933668,222.313134,0.243744,0.000000,536.519207,57.554720,781.183715,776.948721,0.146806,0.994579,1,0.971240,0.672839
climb_6,9169.523905,122.829783,44.719873,345.402465,1333.832676,29.828000,335.468797,1119.859993,3570.471376,1.961291,0,0,0,329.204684,4356.260345,0.244615,0.000000,9.933668,220.236796,0.244615,0.000000,535.560409,57.595108,780.699785,776.452634,0.146751,0.994560,1,0.971240,0.670855
climb_7,9182.014694,131.012909,44.719911,345.402465,1337.127273,29.828000,335.468797,1125.636866,3583.667773,1.961445,0,0,0,328.276560,4360.443113,0.244627,0.000000,9.933668,218.682643,0.244627,0.000000,535.560409,57.595171,780.699785,776.452438,0.146779,0.994560,1,0.971240,0.672988
climb_7,9071.375551,129.459635,44.722929,345.402465,1320.173314,29.828000,335.468797,1110.687825,3546.042972,1.997022,0,0,0,328.431321,4302.793878,0.245563,0.000000,9.933668,216.522965,0.245563,0.000000,534.535775,57.640119,780.159606,775.899318,0.146726,0.994539,1,0.971240,0.670850
climb_7,8855.435343,126.435842,44.728579,345.402465,1286.992808,29.828000,335.468797,1081.390737,3472.053875,2.065724,0,0,0,328.736376,4190.930777,0.247317,0.000000,9.933668,212.334492,0.247317,0.000000,532.557447,57.728704,779.090685,774.806559,0.146609,0.994501,1,0.971240,0.666512
climb_7,8750.987997,124.975781,44.731227,345.402465,1270.897358,29.828000,335.468797,1067.159218,3436.057857,2.098864,0,0,0,328.889235,4137.081699,0.248139,0.000000,9.933668,210.317702,0.248139,0.000000,531.603311,57.772369,778.561909,774.266796,0.146545,0.994483,1,0.971240,0.664331
climb_8,8763.432382,133.322217,44.731259,345.402465,1274.181947,29.828000,335.468797,1072.385314,3449.447686,2.099042,0,0,0,327.629811,4141.197924,0.248149,0.000000,9.933668,209.635619,0.248149,0.000000,531.603311,57.772422,778.561909,774.266629,0.146571,0.994483,1,0.971240,0.666222
climb_8,8650.293510,131.634219,44.734166,345.402465,1256.338834,29.828000,335.468797,1056.591058,3410.265821,2.134904,0,0,0,327.745461,4083.360170,0.249051,0.000000,9.933668,207.471111,0.249051,0.000000,530.570959,57.822086,777.959075,773.651879,0.146456,0.994463,1,0.971240,0.663768
climb_8,8433.211523,128.388448,44.739596,345.402465,1221.445257,29.828000,335.468797,1025.658971,3334.771118,2.203617,0,0,0,327.953671,3973.351979,0.250736,0.000000,9.933668,203.301412,0.250736,0.000000,528.593328,57.919892,776.768229,772.439209,0.146149,0.994427,1,0.971240,0.658777
climb_8,8329.632695,126.832275,44.742137,345.402465,1204.758083,29.828000,335.468797,1010.843664,3298.664927,2.236505,0,0,0,328.057250,3920.977455,0.251525,0.000000,9.933668,201.325966,0.251525,0.000000,527.646970,57.968065,776.180165,771.841136,0.145993,0.994410,1,0.971240,0.656295
