mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_1;10681,52679;99,153876;26,238079;26,165248;227,842492;3024,046838;29,828;221,252685;2743,67708;3960,667737;1,06733;0;0;0;0;3765,070759;0,07283;0;6,589806;649,059905;0,07283;0;561,3;33,137449;791,795363;789,59754;0,283273;0,997224;1;0,971077;0,845431;0,253882
climb_1;10595,57395;98,391745;26,243424;26,169883;227,842492;3001,470332;29,828;221,252685;2724,030257;3932,782802;1,093538;0;0;0;0;3728,79102;0,073541;0;6,589806;644,544603;0,073541;0;560,545275;33,164516;791,31031;789,092864;0,283459;0,997198;1;0,971077;0,845257;0,254102
climb_1;10426,89771;96,89581;26,253389;26,178524;227,842492;2957,024389;29,828;221,252685;2685,321901;3877,909712;1,145129;0;0;0;0;3657,886292;0,074865;0;6,589806;635,655415;0,074865;0;559,059446;33,217517;790,347726;788,093956;0,283819;0,997148;1;0,971077;0,844899;0,254532
climb_1;10344,17098;96,161978;26,258034;26,182552;227,842492;2935,157055;29,828;221,252685;2666,263045;3850,92381;1,17051;0;0;0;0;3623,253587;0,075482;0;6,589806;631,281948;0,075482;0;558,328413;33,24348;789,870189;787,599614;0,283993;0,997125;1;0,971077;0,844714;0,25474
climb_2;10359,48331;104,944258;26,258077;26,18259;227,842492;2943,564715;29,828;221,252685;2692,775521;3865,592981;1,170603;0;0;0;0;3624,271273;0,075488;0;6,589806;632,96348;0,075488;0;558,328413;33,243535;789,870189;787,599444;0,284143;0,997125;1;0,971077;0,850847;0,256683
climb_2;10216,36606;103,56028;26,262858;26,186735;227,842492;2904,537121;29,828;221,252685;2658,636046;3818,730904;1,214818;0;0;0;0;3565,615492;0,076123;0;6,589806;625,157961;0,076123;0;557,054813;33,271204;789,357007;787,069056;0,28434;0,997102;1;0,971077;0,850549;0,256968
climb_2;9937,917688;100,867358;26,271741;26,194438;227,842492;2827,435998;29,828;221,252685;2591,146478;3727,0311;1,300771;0;0;0;0;3453,189176;0,077303;0;6,589806;609,737737;0,077303;0;554,578635;33,325421;788,339371;786,019724;0,284622;0,997058;1;0,971077;0,849922;0,25744
climb_2;9801,674033;99,511947;26,275868;26,198017;227,842492;2788,713636;29,828;221,252685;2557,254657;3682,406642;1,342488;0;0;0;0;3398,895214;0,077852;0;6,589806;601,993264;0,077852;0;553,376716;33,351998;787,834906;785,500665;0,284667;0,997037;1;0,971077;0,849596;0,257594
climb_3;9814,942131;106,978646;26,275906;26,198049;227,842492;2795,732645;29,828;221,252685;2577,113355;3694,788173;1,34258;0;0;0;0;3400,229379;0,077857;0;6,589806;603,397066;0,077857;0;553,376716;33,352046;787,834906;785,500518;0,28478;0,997037;1;0,971077;0,854201;0,259053
climb_3;9642,755058;105,114521;26,281121;26,202572;227,842492;2746,416856;29,828;221,252685;2533,768695;3638,513516;1,396057;0;0;0;0;3331,71515;0,07855;0;6,589806;593,533908;0,07855;0;551,835893;33,387064;787,164781;784,812086;0,284805;0,997011;1;0,971077;0,853791;0,259232
climb_3;9332,757609;101,7895;26,290613;26,210802;227,842492;2657,989053;29,828;221,252685;2455,741983;3537,189648;1,499115;0;0;0;0;3208,041293;0,079811;0;6,589806;575,848348;0,079811;0;548,866241;33,455428;785,839992;783,454405;0,284891;0,996964;1;0,971077;0,852913;0,259569
climb_3;9184,548861;100,193939;26,294936;26,214551;227,842492;2615,574225;29,828;221,252685;2418,252583;3488,550983;1,548739;0;0;0;0;3149,240853;0,080385;0;6,589806;567,365382;0,080385;0;547,436243;33,48883;785,185292;782,78493;0,284919;0,996943;1;0,971077;0,85245;0,259719
climb_4;9198,439755;108,678814;26,294974;26,214584;227,842492;2623,154413;29,828;221,252685;2438,12798;3502,339097;1,548863;0;0;0;0;3150,248197;0,08039;0;6,589806;568,88142;0,08039;0;547,436243;33,488878;785,185292;782,784784;0,285049;0,996943;1;0,971077;0,857166;0,261226
climb_4;9093,582997;107,453403;26,298029;26,217233;227,842492;2593,07951;29,828;221,252685;2411,456023;3467,781398;1,584156;0;0;0;0;3108,763336;0,080796;0;6,589806;562,866439;0,080796;0;546,41922;33,513465;784,700413;782,289553;0,285067;0,996928;1;0,971077;0,856848;0,261338
climb_4;8889,6821;105,07348;26,303748;26,222192;227,842492;2534,390135;29,828;221,252685;2359,35315;3400,242291;1,652875;0;0;0;0;3028,642278;0,081556;0;6,589806;551,128564;0,081556;0;544,438985;33,561866;783,73914;781,309116;0,285079;0,996899;1;0,971077;0,85619;0,261538
climb_4;8788,729881;103,898836;26,306426;26,224514;227,842492;2504,243709;29,828;221,252685;2332,61058;3366,503687;1,686264;0;0;0;0;2990,367057;0,081912;0;6,589806;545,099279;0,081912;0;543,476874;33,585699;783,262729;780,823833;0,284963;0,996886;1;0,971077;0,855848;0,261535
climb_5;8799,358718;110,638885;26,306449;26,224534;227,842492;2509,801246;29,828;221,252685;2346,31003;3377,353307;1,686376;0;0;0;0;2991,328674;0,081915;0;6,589806;546,210786;0,081915;0;543,476874;33,585728;783,262729;780,823746;0,285031;0,996886;1;0,971077;0,859123;0,262559
climb_5;8692,201822;109,312258;26,309295;26,227002;227,842492;2477,451318;29,828;221,252685;2317,55011;3341,376108;1,721874;0;0;0;0;2951,13678;0,082293;0;6,589806;539,740801;0,082293;0;542,454028;33,611953;782,736264;780,287934;0,284869;0,996872;1;0,971077;0,858764;0,262528
climb_5;8485,910811;106,7484;26,314606;26,231607;227,842492;2415,03145;29,828;221,252685;2261,994393;3271,95237;1,790541;0;0;0;0;2874,056849;0,082999;0;6,589806;527,256827;0,082999;0;540,4755;33,663577;781,693692;779,228153;0,284529;0,996846;1;0,971077;0,858024;0,262444
