mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_1;12963,90507;144,638088;0;0;0;3015,165052;29,828;0;2834,458308;4449,043969;1,06733;0;0;0;0;5613,438806;0;0;0;512,578059;0;0;561,3;0;0;0;0,232291;0;0;0;0,940067;0,21623
climb_1;12871,56897;143,727964;0;0;0;2998,488176;29,828;0;2819,746516;4421,218026;1,093284;0;0;0;0;5564,669449;0;0;0;509,74299;0;0;560,552613;0;0;0;0,232674;0;0;0;0,940389;0,216649
climb_1;12684,93174;141,881678;0;0;0;2963,45755;29,828;0;2788,969904;4364,717747;1,145024;0;0;0;0;5467,665095;0;0;0;503,787784;0;0;559,062492;0;0;0;0,233362;0;0;0;0,94112;0,217433
climb_1;12557,73951;140,575886;0;0;0;2934,755224;29,828;0;2762,971861;4324,660938;1,17051;0;0;0;0;5407,900725;0;0;0;498,908388;0;0;558,328413;0;0;0;0,233463;0;0;0;0,941466;0,217586
climb_2;12571,38176;153,313767;0;0;0;2942,409391;29,828;0;2912,184727;4342,673382;1,170603;0;0;0;0;5408,614152;0;0;0;367,801174;0;0;558,328413;0;0;0;0,23358;0;0;0;0,989728;0,228861
climb_2;12377,30198;151,163572;0;0;0;2899,581878;29,828;0;2870,94991;4281,950228;1,214307;0;0;0;0;5315,891135;0;0;0;362,447735;0;0;557,069534;0;0;0;0,23382;0;0;0;0,990125;0,229154
climb_2;12102,4636;148,23016;0;0;0;2847,491079;29,828;0;2822,664158;4199,131832;1,300437;0;0;0;0;5172,942414;0;0;0;355,936385;0;0;554,588257;0;0;0;0,23487;0;0;0;0,991281;0,230409
climb_2;11933,76567;146,370392;0;0;0;2809,03175;29,828;0;2786,549953;4146,516831;1,342488;0;0;0;0;5093,416996;0;0;0;351,128969;0;0;553,376716;0;0;0;0,235002;0;0;0;0,991997;0,230672
climb_3;11944,72491;157,223083;0;0;0;2815,211377;29,828;0;2800,583818;4161,70248;1,34258;0;0;0;0;5093,863555;0;0;0;351,901422;0;0;553,376716;0;0;0;0,235089;0;0;0;0,994804;0,231416
climb_3;11712,23532;154,443599;0;0;0;2763,166475;29,828;0;2750,907617;4088,174072;1,396329;0;0;0;0;4984,11404;0;0;0;345,395809;0;0;551,82805;0;0;0;0,235364;0;0;0;0,995563;0,231818
climb_3;11315,52389;149,738679;0;0;0;2673,033099;29,828;0;2665,063315;3963,573727;1,498967;0;0;0;0;4797,328774;0;0;0;334,129137;0;0;548,870492;0;0;0;0,235743;0;0;0;0,997018;0,232447
climb_3;11194,31355;148,391246;0;0;0;2649,168076;29,828;0;2644,092653;3927,828164;1,548739;0;0;0;0;4734,331813;0;0;0;331,146009;0;0;547,436243;0;0;0;0,236187;0;0;0;0,998084;0,23311
climb_4;11208,15278;160,843639;0;0;0;2656,455294;29,828;0;2660,246325;3945,763462;1,548863;0;0;0;0;4735,400804;0;0;0;332,056912;0;0;547,436243;0;0;0;0,236281;0;0;0;1;0,233991
climb_4;11061,31281;158,933578;0;0;0;2622,145995;29,828;0;2627,326989;3898,811207;1,584306;0;0;0;0;4667,87688;0;0;0;327,768249;0;0;546,414898;0;0;0;0,236356;0;0;0;1;0,234159
climb_4;10782,13628;155,298738;0;0;0;2555,677075;29,828;0;2563,944795;3809,394924;1,652973;0;0;0;0;4540,882045;0;0;0;319,459634;0;0;544,436178;0;0;0;0,23639;0;0;0;1;0,234419
climb_4;10653,42981;153,627242;0;0;0;2525,281482;29,828;0;2534,821142;3768,242667;1,686264;0;0;0;0;4482,018638;0;0;0;315,660185;0;0;543,476874;0;0;0;0,23643;0;0;0;1;0,234552
climb_5;10662,30165;163,472926;0;0;0;2530,314893;29,828;0;2546,569584;3781,767413;1,686376;0;0;0;0;4482,177897;0;0;0;316,289362;0;0;543,476874;0;0;0;0,236486;0;0;0;1;0,235232
climb_5;10538,14499;161,774483;0;0;0;2500,991447;29,828;0;2518,71081;3742,305558;1,721732;0;0;0;0;4425,072738;0;0;0;312,623931;0;0;542,458102;0;0;0;0,236527;0;0;0;1;0,235395
climb_5;10296,43603;158,457597;0;0;0;2444,029758;29,828;0;2464,706675;3665,181965;1,790417;0;0;0;0;4314,063488;0;0;0;305,50372;0;0;540,479071;0;0;0;0,236622;0;0;0;1;0,235747
climb_5;10181,58392;156,881151;0;0;0;2416,375665;29,828;0;2438,657113;3628,495792;1,823766;0;0;0;0;4261,941847;0;0;0;302,046958;0;0;539,518263;0;0;0;0,236612;0;0;0;1;0,235882
