;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;rpm_wtp;battery_resistive_losses;emotor_efficiency;emotorWTP_efficiency;combustion_engine_throttle;beta_propeller;eta_propeller;cp_propeller;ct_propeller;j_propeller;rpm_propeller;thrust_propeller;beta_propellerWTP;eta_propellerWTP;cp_propellerWTP;ct_propellerWTP;j_propellerWTP;rpm_propellerWTP;thrust_propellerWTP;power_WTP;propeller_rpm;battery_current;battery_draw;propeller_motor_torque;propeller_torque;battery_specfic_power;propeller_tip_mach;propeller_power_coefficient;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;electric_throttle;electric_throttle_WTP;disc_loading;power_loading;propeller_thrust;power;heat_load_vcs;tms_mdot_air_vcs;heat_load_liquid;tms_mdot_air_liquid;thrust_turboprop;thrust_WTP;power_propeller_turboprop;power_turboshaft;power_motor_turboprop;power_propeller_WTP;propellerWTP_tip_mach;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag
0;climb_1;0;0;0,241882353;82,31111111;101325;1,225;288,15;0,791163736;0,082043298;0,081426914;0,168693958;19156,37151;0,267163173;9,322915879;21,37444422;0,9;293266741,5;0;788,0332607;791,7953634;0,95;956,9428271;2561,188303;213,0083226;0,971240309;0,971309407;0,9;26,74975151;0,85159721;0,137400739;0,104191847;1,123025362;956,9428271;14480,24602;29,37586052;0,834514717;0,229889108;0,170829484;1,123025362;2561,188303;3314,316657;326902,667;956,9428271;56,61948577;-44618,03799;-131,9340232;13966,43503;104,1289119;0,676650634;0,137400739;19,10966378;729,1406474;0,024038118;-1;1;1072,825581;0,025428289;35589,12535;3452981,106;512,5800496;0,043009948;13682,51872;0,333082639;14480,24602;3314,316657;1399587,886;1766303,872;345402,465;326902,667;0,676650634;2,004989242;3160;17,03331032;0;0;0;9,643246436;187924,0045;184167,0524;19098,03442
1;climb_1;16,25294939;116,025756;0,242199506;82,31111111;99938,93153;1,211413238;287,3958463;0,799790611;0,082491859;0,082659967;0,169067703;19152,04681;0,265014972;9,322725612;21,36538302;0,9;292538046;0;787,6112483;791,4008339;0,947639484;956,9428271;2561,188303;214,7056691;0,971240309;0,971309407;0,9;26,75660645;0,85162769;0,13766259;0,104394146;1,123025362;956,9428271;14347,4453;29,44458447;0,83383966;0,232467459;0,172605707;1,123025362;2561,188303;3311,635636;326902,667;956,9428271;56,6567667;-44623,50674;-131,9340232;13837,85128;104,1416748;0,677537849;0,13766259;18,94690551;728,2582686;0,024049665;-1;1;1064,657452;0,025469172;35318,16188;3427210,141;513,4287229;0,041210453;13682,51872;0,328214345;14347,4453;3311,635636;1386702,404;1753222,164;345402,465;326902,667;0,677537849;2,000312231;3160;16,9483629;0,008660774;13,66604004;0,073480319;9,695388398;187881,5792;184110,3028;18989,47162
2;climb_1;48,75884818;344,6294128;0,242828021;82,31111111;97253,04594;1,184982458;285,91003;0,817134273;0,083407683;0,085140068;0,169819666;19143,50111;0,26079612;9,322349387;21,34746584;0,9;291080316,9;0;786,7755594;790,6167568;0,942917358;956,9428271;2561,188303;217,9114119;0,971240309;0,971309407;0,9;26,76944094;0,851686974;0,138156718;0,104776153;1,123025362;956,9428271;14085,76655;29,58228492;0,832463136;0,237652596;0,176164343;1,123025362;2561,188303;3306,168701;326902,667;956,9428271;56,7300737;-44633,83547;-131,9340232;13584,5212;104,1657798;0,679296081;0,138156718;18,62623724;726,5198662;0,024072413;-1;1;1048,551368;0,025551651;34783,8705;3376437,311;515,0315943;0,037745982;13682,51872;0,319037694;14085,76655;3306,168701;1361315,989;1727449,154;345402,465;326902,667;0,679296081;1,99141048;3160;16,77939363;0,025716516;40,67045829;0,217595021;9,796870558;187797,7459;183998,7291;18781,37799
3;climb_1;65,01179757;457,2;0,243139306;82,31111111;95952,1631;1,172131188;285,1784132;0,825847128;0,083874827;0,086386576;0,170198086;19139,27926;0,258725331;9,322163396;21,33860828;0,9;290351291,4;0;786,3617818;790,2272053;0,940555774;956,9428271;2561,188303;219,4251209;0,971240309;0,971309407;0,9;26,77542038;0,851715891;0,138388952;0,104955839;1,123025362;956,9428271;13956,89927;29,65122961;0,831762484;0,240258224;0,177945916;1,123025362;2561,188303;3303,386028;326902,667;956,9428271;56,76612672;-44638,71256;-131,9340232;13459,78271;104,1771619;0,68016688;0,138388952;18,4683373;725,6638962;0,024083614;-1;1;1040,614256;0,025593242;34520,5706;3351437,018;515,7884488;0,03653141;13682,51872;0,314714701;13956,89927;3303,386028;1348815,842;1714758,65;345402,465;326902,667;0,68016688;1,987172793;3160;16,69541963;0,034114954;54,01148231;0,288257831;9,846185773;187756,3296;183943,8873;18681,74048
4;climb_2;65,01179757;457,2;0,25377665;85,91222222;95952,1631;1,172131188;285,1784132;0,757046928;0,042971143;0,071264708;0,193493784;19139,27926;0,259108318;9,322163396;21,33860828;0,9;290351291,4;0;786,361361;790,2272053;0,940555774;956,9428271;2561,188303;219,4495139;0,971240309;0,971309407;0,9;27,54840263;0,856842582;0,138881668;0,101521941;1,172157722;956,9428271;13500,26365;30,27577003;0,839958409;0,240258224;0,172167031;1,172157722;2561,188303;3196,106875;326902,667;956,9428271;56,76625705;-44638,79115;-131,9340232;13507,70453;104,1773453;0,68016688;0,138881668;18,50255196;726,0567978;0,024077287;-1;1;1006,616107;0,024669248;33392,74105;3361041,588;515,8006453;0,037029453;13682,51872;0,316246845;13500,26365;3196,106875;1353618,127;1719634,066;345402,465;326902,667;0,68016688;1,985001335;3160;16,72020517;0,034114954;54,01148231;0,288257831;17,61756558;187756,3296;183696,7513;10426,9089
5;climb_2;83,8696317;652,9530271;0,254344597;85,91222222;93723,68946;1,15003892;283,9062403;0,771422694;0,043621899;0,073203806;0,193253021;19134,42705;0,255532713;9,321949534;21,32842336;0,9;289505294,4;0;785,8846018;789,7772931;0,937815275;956,9428271;2561,188303;221,1344592;0,971240309;0,971309407;0,9;27,55632875;0,856894457;0,139221138;0,101776253;1,172157722;956,9428271;13278,99214;30,39207037;0,838809608;0,244873588;0,175234369;1,172157722;2561,188303;3191,735597;326902,667;956,9428271;56,80760235;-44644,21995;-131,9340232;13285,50673;104,190015;0,681689078;0,139221138;18,22511137;724,5651998;0,024096907;-1;1;993,0122126;0,024742869;32941,45548;3316508,341;516,6431179;0,03494887;13682,51872;0,309006231;13278,99214;3191,735597;1331351,503;1697028,357;345402,465;326902,667;0,681689078;1,977467583;3160;16,5721567;0,043726558;69,34448942;0,369039146;17,6842986;187708,7293;183656,9646;10385,31235
6;climb_2;121,5853;1034,003219;0,255461075;85,91222222;89506,3189;1,1079529;281,4300697;0,800372743;0,044963998;0,077112271;0,192787319;19124,92138;0,248568305;9,321530255;21,30845575;0,9;287812912,6;0;784,9414896;788,88414;0,932333021;956,9428271;2561,188303;224,2927267;0,971240309;0,971309407;0,9;27,56743233;0,85699404;0,139729518;0,10215977;1,172157722;956,9428271;12841,25067;30,62505727;0,836443067;0,254175206;0,181377544;1,172157722;2561,188303;3182,730726;326902,667;956,9428271;56,88882077;-44654,39572;-131,9340232;12846,05762;104,213763;0,68468144;0,139729518;17,68255147;721,6381305;0,0241347;-1;1;966,0780913;0,024895219;32047,96279;3228433,231;518,2222517;0,030924841;13682,51872;0,295880472;12841,25067;3182,730726;1287313,949;1652320,179;345402,465;326902,667;0,68468144;1,963620071;3160;16,27792325;0,062458514;99,38238411;0,525164468;17,80030192;187615,4788;183576,0586;10313,08679
7;climb_2;140,4431341;1219,2;0,25600899;85,91222222;87513,02812;1,087930805;280,2267163;0,81492646;0,045654907;0,079079769;0,1925218;19120,26617;0,245156558;9,321324768;21,29866976;0,9;286966538,4;0;784,4750034;788,4408913;0,9295913;956,9428271;2561,188303;225,7729555;0,971240309;0,971309407;0,9;27,56935914;0,857043047;0,139853296;0,102256115;1,172157722;956,9428271;12621,08468;30,74153118;0,835229953;0,258853004;0,184447689;1,172157722;2561,188303;3178,114734;326902,667;956,9428271;56,92872907;-44659,16493;-131,9340232;12625,08724;104,2248933;0,68614995;0,139853296;17,42301481;720,2845819;0,024161882;-1;1;952,5260944;0,024975609;31598,39883;3184145,986;518,9623661;0,029285481;13682,51872;0,289964666;12621,08468;3178,114734;1265170,326;1629839,344;345402,465;326902,667;0,68614995;1,95654085;3160;16,13673691;0,071583192;114,0928698;0,600612249;17,84970131;187569,8111;183536,3734;10282,32183
8;climb_3;140,4431341;1219,2;0,265206918;88,99888889;87513,02812;1,087930805;280,2267163;0,761077875;0,043265331;0,071776687;0,17973459;19120,26617;0,245488416;9,321324768;21,29866976;0,9;286966538,4;0;784,4745979;788,4408913;0,9295913;956,9428271;2561,188303;225,7965435;0,971240309;0,971309407;0,9;28,22819038;0,860676776;0,140296468;0,099442295;1,214271173;956,9428271;12273,78548;31,26292113;0,841810453;0,258853004;0,179453461;1,214271173;2561,188303;3092,061996;326902,667;956,9428271;56,92885538;-44659,24093;-131,9340232;12665,09406;104,2250707;0,68614995;0,140296468;17,45241214;720,5721072;0,024152428;-1;1;926,3995155;0,02421383;30731,69495;3192164,218;518,9741601;0,029649188;13682,51872;0,291204329;12273,78548;3092,061996;1269179,442;1633909,513;345402,465;326902,667;0,68614995;1,955149227;3160;16,15730601;0,071583192;114,0928698;0,600612249;17,59094093;187569,8111;183946,7367;10456,90151
9;climb_3;165,4663143;1455,955265;0,265937835;88,99888889;85017,47464;1,062740731;278,688453;0,778967086;0,044088292;0,074193742;0,179458514;19114,18054;0,241188427;9,321055992;21,28586964;0,9;285843271,9;0;783,8607041;787,8561422;0,925952622;956,9428271;2561,188303;227,6645265;0,971240309;0,971309407;0,9;28,22997921;0,860729158;0,140439287;0,099549583;1,214271173;956,9428271;12002,53244;31,40931487;0,840310514;0,26498858;0,183379705;1,214271173;2561,188303;3086,552559;326902,667;956,9428271;56,98111824;-44665,25947;-131,9340232;12384,43929;104,2391167;0,688040998;0,140439287;17,1202504;718,9147982;0,024193205;-1;1;909,7136398;0,024316549;30178,17;3135914,93;519,9081516;0,027945863;13682,51872;0,283959132;12002,53244;3086,552559;1241054,798;1605356,575;345402,465;326902,667;0,688040998;1,9449638;3160;15,97764041;0,083446687;133,3234409;0,698391145;17,66834332;187510,1111;183911,1881;10409,07938
