;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;combustion_engine_throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;etap;propeller_rpm;propeller_torque;propeller_motor_torque;propeller_power_coefficient;power_turboshaft;propeller_tip_mach;motor_torque;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;disc_loading;power_loading;thrust_propeller;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag;electric_throttle;power
0;climb_1;0;0;0,241882353;82,31111111;101325;1,225;288,15;0,756094683;0,085047974;0,079876189;0,164174214;17996,64888;0,283841768;9,539930941;20,27955645;0,9;0;0;0;0;0;1200;0,83;1200;11996,96056;11996,96056;0,164093836;3015165,052;0,725634861;11996,96056;15,08436471;694,6515255;0,02;131,8671307;0,04568362;34435,91357;2,004457516;3160;17,02247968;0;0;0;8,890213888;176547,1255;173059,3505;19466,27524;0;3015165,052
1;climb_1;16,69432793;114,9846949;0,242196655;82,31111111;99951,29941;1,21153463;287,402613;0,764274321;0,085556681;0,081084245;0,164936937;17991,93253;0,28182009;9,539677848;20,26854635;0,9;0;0;0;0;0;1200;0,83;1200;11930,60537;11930,60537;0,164999935;2998488,176;0,726577751;11930,60537;14,9630393;693,9173587;0,02;131,182696;0,045699269;34257,17959;1,998542399;3160;16,93964069;0,009442411;14,90366279;0,080045565;8,932958949;176500,8581;173008,6817;19367,45514;0;2998488,176
2;climb_1;50,08298378;344,2505818;0,242826976;82,31111111;97257,44782;1,185025888;285,9124921;0,780529553;0,086583244;0,083485778;0,166347602;17982,58565;0,27773371;9,539175874;20,24670942;0,9;0;0;0;0;0;1200;0,83;1200;11791,22294;11791,22294;0,166720167;2963457,55;0,728468682;11791,22294;14,71543532;692,416594;0,02;129,7508797;0,045734785;33883,27367;1,986860039;3160;16,76891521;0,02806533;44,43979571;0,237632317;9,014787573;176409,1652;172822,3816;19170,98769;0;2963457,55
3;climb_1;66,77731171;457,2;0,243139306;82,31111111;95952,1631;1,172131188;285,1784132;0,788589972;0,087084737;0,084677082;0,16631417;17977,97163;0,274948865;9,538927886;20,2359214;0,9;0;0;0;0;0;1200;0,83;1200;11677,02002;11677,02002;0,16692175;2934755,224;0,729405656;11677,02002;14,56582123;691,3557384;0,02;128,5413762;0,045751581;33567,42272;1,98233454;3160;16,65861194;0,037221983;59,02009871;0,314757092;9,055432623;176363,9017;172707,1304;19072,21196;0;2934755,224
4;climb_2;66,77731171;457,2;0,25377665;85,91222222;95952,1631;1,172131188;285,1784132;0,721600717;0,051959272;0,074504523;0,196241081;17977,97163;0,275247559;9,538927886;20,2359214;0,9;0;0;0;0;0;1200;0,875;1200;11707,47498;11707,47498;0,1673571;2942409,391;0,729405656;11707,47498;14,5886863;691,6457921;0,02;129,8042507;0,04608089;33897,21103;1,98109461;3160;16,68061436;0,037221983;59,02009871;0,314757092;13,88781411;176363,9017;172166,6192;12396,95591;0;2942409,391
5;climb_2;85,68785301;650,9074813;0,254338642;85,91222222;93746,75677;1,150268109;283,9195336;0,735690887;0,052871634;0,076576799;0,195687891;17972,82421;0,270998226;9,538651079;20,22387972;0,9;0;0;0;0;0;1200;0,875;1200;11537,06972;11537,06972;0,168055822;2899581,878;0,731020935;11537,06972;14,34594134;690,0266708;0,02;127,9662992;0,0460994;33417,24653;1,972585962;3160;16,50420478;0,047402076;75,28593301;0,400012271;13,91466153;176313,4055;172254,3623;12379,3426;0;2899581,878
6;climb_2;123,5089356;1032,743204;0,255457359;85,91222222;89520,00577;1,108090085;281,4382572;0,763127373;0,054741113;0,080613677;0,196728784;17962,68281;0,264980702;9,538105252;20,20013507;0,9;0;0;0;0;0;1200;0,875;1200;11329,80702;11329,80702;0,17131862;2847491,079;0,734236356;11329,80702;13,95729372;687,8450345;0,02;125,8140676;0,046153206;32855,21064;1,953373088;3160;16,234472;0,067308295;107,3327808;0,566073256;13,94066239;176213,9183;172126,554;12347,08576;0;2847491,079
7;climb_2;142,4194769;1219,2;0,25600899;85,91222222;87513,02812;1,087930805;280,2267163;0,776591245;0,055664614;0,082595771;0,196436614;17957,70608;0,261287099;9,537837171;20,18847298;0,9;0;0;0;0;0;1200;0,875;1200;11176,78221;11176,78221;0,17213637;2809031,75;0,735821854;11176,78221;13,73908525;686,5270274;0,02;124,2043561;0,046186518;32434,84898;1,944408593;3160;16,07716068;0,077007273;123,0592286;0,646483883;13,95125535;176165,0967;171976,6708;12326,96747;0;2809031,75
8;climb_3;142,4194769;1219,2;0,265206918;88,99888889;87513,02812;1,087930805;280,2267163;0,725737762;0,052032051;0,074859276;0,183081292;17957,70608;0,261527049;9,537837171;20,18847298;0,9;0;0;0;0;0;1200;0,875;1200;11201,37016;11201,37016;0,172515055;2815211,377;0,735821854;11201,37016;13,7580943;686,759735;0,02;120,5005247;0,044710855;31467,62676;1,943216257;3160;16,09591308;0,077007273;123,0592286;0,646483883;13,9478984;176165,0967;172470,9806;12365,37403;0;2815211,377
9;climb_3;167,4658665;1457,556527;0,265942799;88,99888889;85000,79537;1,062571902;278,6780496;0,742773636;0,053144756;0,077356955;0,182584021;17951,21008;0,256436742;9,537487027;20,17324099;0,9;0;0;0;0;0;1200;0,875;1200;10994,29008;10994,29008;0,173366822;2763166,475;0,737863572;10994,29008;13,47287826;684,8100771;0,02;118,3631102;0,044744984;30909,46023;1,935684696;3160;15,8785525;0,089589675;143,586603;0,750427692;13,97642394;176101,3709;172404,9954;12335,41542;0;2763166,475
